The Energy Technology RD&D Budgets database and an overview of the database are available here: https://www.iea.org/data-and-statistics/data-product/energy-technology-rd-and-d-budget-database-2
If you have any question about the data please contact RDD@iea.org
Please note that your use of IEA data is subject to the Terms and Conditions found here: https://www.iea.org/terms
""
COUNTRY,PRODUCT,TIME,VALUE
AUSTRALI,GDPDEF,1974,13.644
AUSTRALI,GDPDEF,1975,15.894
AUSTRALI,GDPDEF,1976,18.122
AUSTRALI,GDPDEF,1977,20.192
AUSTRALI,GDPDEF,1978,21.855
AUSTRALI,GDPDEF,1979,23.742
AUSTRALI,GDPDEF,1980,26.12
AUSTRALI,GDPDEF,1981,28.76
AUSTRALI,GDPDEF,1982,32.235
AUSTRALI,GDPDEF,1983,35.038
AUSTRALI,GDPDEF,1984,37.127
AUSTRALI,GDPDEF,1985,39.088
AUSTRALI,GDPDEF,1986,41.477
AUSTRALI,GDPDEF,1987,44.446
AUSTRALI,GDPDEF,1988,48.476
AUSTRALI,GDPDEF,1989,52.138
AUSTRALI,GDPDEF,1990,54.754
AUSTRALI,GDPDEF,1991,55.52
AUSTRALI,GDPDEF,1992,56.213
AUSTRALI,GDPDEF,1993,56.834
AUSTRALI,GDPDEF,1994,57.589
AUSTRALI,GDPDEF,1995,59.208
AUSTRALI,GDPDEF,1996,60.393
AUSTRALI,GDPDEF,1997,60.988
AUSTRALI,GDPDEF,1998,61.619
AUSTRALI,GDPDEF,1999,62.17
AUSTRALI,GDPDEF,2000,64.925
AUSTRALI,GDPDEF,2001,67.201
AUSTRALI,GDPDEF,2002,69.121
AUSTRALI,GDPDEF,2003,71.221
AUSTRALI,GDPDEF,2004,73.688
AUSTRALI,GDPDEF,2005,77.094
AUSTRALI,GDPDEF,2006,81.025
AUSTRALI,GDPDEF,2007,84.594
AUSTRALI,GDPDEF,2008,89.997
AUSTRALI,GDPDEF,2009,90.382
AUSTRALI,GDPDEF,2010,95.2
AUSTRALI,GDPDEF,2011,99.666
AUSTRALI,GDPDEF,2012,99.148
AUSTRALI,GDPDEF,2013,100.427
AUSTRALI,GDPDEF,2014,100.734
AUSTRALI,GDPDEF,2015,100.0
AUSTRALI,GDPDEF,2016,100.952
AUSTRALI,GDPDEF,2017,104.601
AUSTRALI,GDPDEF,2018,106.943
AUSTRALI,GDPDEF,2019,110.326
AUSTRALI,GDPDEF,2020,111.17
AUSTRALI,GDPDEF,2021,117.433
AUSTRALI,GDPDEF,2022,126.679
AUSTRALI,GDPNCN,1974,64126.0
AUSTRALI,GDPNCN,1975,75699.0
AUSTRALI,GDPNCN,1976,88546.0
AUSTRALI,GDPNCN,1977,102203.0
AUSTRALI,GDPNCN,1978,111609.0
AUSTRALI,GDPNCN,1979,126156.0
AUSTRALI,GDPNCN,1980,143005.0
AUSTRALI,GDPNCN,1981,163965.0
AUSTRALI,GDPNCN,1982,183887.0
AUSTRALI,GDPNCN,1983,198932.0
AUSTRALI,GDPNCN,1984,224170.0
AUSTRALI,GDPNCN,1985,248885.0
AUSTRALI,GDPNCN,1986,270561.0
AUSTRALI,GDPNCN,1987,304115.0
AUSTRALI,GDPNCN,1988,345802.0
AUSTRALI,GDPNCN,1989,389190.0
AUSTRALI,GDPNCN,1990,414882.0
AUSTRALI,GDPNCN,1991,416484.0
AUSTRALI,GDPNCN,1992,432618.0
AUSTRALI,GDPNCN,1993,454585.0
AUSTRALI,GDPNCN,1994,482973.0
AUSTRALI,GDPNCN,1995,511224.0
AUSTRALI,GDPNCN,1996,542431.0
AUSTRALI,GDPNCN,1997,573105.0
AUSTRALI,GDPNCN,1998,605956.0
AUSTRALI,GDPNCN,1999,638011.0
AUSTRALI,GDPNCN,2000,686881.0
AUSTRALI,GDPNCN,2001,729845.0
AUSTRALI,GDPNCN,2002,781952.0
AUSTRALI,GDPNCN,2003,830045.0
AUSTRALI,GDPNCN,2004,894095.0
AUSTRALI,GDPNCN,2005,963471.0
AUSTRALI,GDPNCN,2006,1039087.0
AUSTRALI,GDPNCN,2007,1132329.0
AUSTRALI,GDPNCN,2008,1235275.0
AUSTRALI,GDPNCN,2009,1264749.0
AUSTRALI,GDPNCN,2010,1364326.0
AUSTRALI,GDPNCN,2011,1467795.0
AUSTRALI,GDPNCN,2012,1515187.0
AUSTRALI,GDPNCN,2013,1568548.0
AUSTRALI,GDPNCN,2014,1613612.0
AUSTRALI,GDPNCN,2015,1638428.0
AUSTRALI,GDPNCN,2016,1698535.0
AUSTRALI,GDPNCN,2017,1801868.0
AUSTRALI,GDPNCN,2018,1894069.0
AUSTRALI,GDPNCN,2019,1991962.0
AUSTRALI,GDPNCN,2020,1970804.0
AUSTRALI,GDPNCN,2021,2189992.0
AUSTRALI,GDPNCN,2022,2448924.0
AUSTRALI,PPP,1974,..
AUSTRALI,PPP,1975,..
AUSTRALI,PPP,1976,..
AUSTRALI,PPP,1977,..
AUSTRALI,PPP,1978,..
AUSTRALI,PPP,1979,..
AUSTRALI,PPP,1980,0.92
AUSTRALI,PPP,1981,0.926
AUSTRALI,PPP,1982,0.977
AUSTRALI,PPP,1983,1.022
AUSTRALI,PPP,1984,1.045
AUSTRALI,PPP,1985,1.067
AUSTRALI,PPP,1986,1.11
AUSTRALI,PPP,1987,1.16
AUSTRALI,PPP,1988,1.222
AUSTRALI,PPP,1989,1.265
AUSTRALI,PPP,1990,1.281
AUSTRALI,PPP,1991,1.256
AUSTRALI,PPP,1992,1.243
AUSTRALI,PPP,1993,1.228
AUSTRALI,PPP,1994,1.218
AUSTRALI,PPP,1995,1.227
AUSTRALI,PPP,1996,1.229
AUSTRALI,PPP,1997,1.22
AUSTRALI,PPP,1998,1.219
AUSTRALI,PPP,1999,1.213
AUSTRALI,PPP,2000,1.238
AUSTRALI,PPP,2001,1.254
AUSTRALI,PPP,2002,1.27
AUSTRALI,PPP,2003,1.283
AUSTRALI,PPP,2004,1.293
AUSTRALI,PPP,2005,1.311
AUSTRALI,PPP,2006,1.337
AUSTRALI,PPP,2007,1.359
AUSTRALI,PPP,2008,1.419
AUSTRALI,PPP,2009,1.416
AUSTRALI,PPP,2010,1.473
AUSTRALI,PPP,2011,1.511
AUSTRALI,PPP,2012,1.54
AUSTRALI,PPP,2013,1.447
AUSTRALI,PPP,2014,1.452
AUSTRALI,PPP,2015,1.474
AUSTRALI,PPP,2016,1.45
AUSTRALI,PPP,2017,1.466
AUSTRALI,PPP,2018,1.463
AUSTRALI,PPP,2019,1.483
AUSTRALI,PPP,2020,1.475
AUSTRALI,PPP,2021,1.491
AUSTRALI,PPP,2022,1.503
AUSTRALI,USEXRMEI,1974,0.693
AUSTRALI,USEXRMEI,1975,0.76
AUSTRALI,USEXRMEI,1976,0.816
AUSTRALI,USEXRMEI,1977,0.9
AUSTRALI,USEXRMEI,1978,0.873
AUSTRALI,USEXRMEI,1979,0.895
AUSTRALI,USEXRMEI,1980,0.877
AUSTRALI,USEXRMEI,1981,0.869
AUSTRALI,USEXRMEI,1982,0.986
AUSTRALI,USEXRMEI,1983,1.109
AUSTRALI,USEXRMEI,1984,1.141
AUSTRALI,USEXRMEI,1985,1.432
AUSTRALI,USEXRMEI,1986,1.496
AUSTRALI,USEXRMEI,1987,1.429
AUSTRALI,USEXRMEI,1988,1.281
AUSTRALI,USEXRMEI,1989,1.265
AUSTRALI,USEXRMEI,1990,1.282
AUSTRALI,USEXRMEI,1991,1.284
AUSTRALI,USEXRMEI,1992,1.362
AUSTRALI,USEXRMEI,1993,1.473
AUSTRALI,USEXRMEI,1994,1.369
AUSTRALI,USEXRMEI,1995,1.35
AUSTRALI,USEXRMEI,1996,1.277
AUSTRALI,USEXRMEI,1997,1.348
AUSTRALI,USEXRMEI,1998,1.592
AUSTRALI,USEXRMEI,1999,1.55
AUSTRALI,USEXRMEI,2000,1.727
AUSTRALI,USEXRMEI,2001,1.935
AUSTRALI,USEXRMEI,2002,1.841
AUSTRALI,USEXRMEI,2003,1.542
AUSTRALI,USEXRMEI,2004,1.359
AUSTRALI,USEXRMEI,2005,1.313
AUSTRALI,USEXRMEI,2006,1.328
AUSTRALI,USEXRMEI,2007,1.195
AUSTRALI,USEXRMEI,2008,1.198
AUSTRALI,USEXRMEI,2009,1.282
AUSTRALI,USEXRMEI,2010,1.09
AUSTRALI,USEXRMEI,2011,0.969
AUSTRALI,USEXRMEI,2012,0.966
AUSTRALI,USEXRMEI,2013,1.036
AUSTRALI,USEXRMEI,2014,1.109
AUSTRALI,USEXRMEI,2015,1.331
AUSTRALI,USEXRMEI,2016,1.345
AUSTRALI,USEXRMEI,2017,1.305
AUSTRALI,USEXRMEI,2018,1.339
AUSTRALI,USEXRMEI,2019,1.439
AUSTRALI,USEXRMEI,2020,1.454
AUSTRALI,USEXRMEI,2021,1.331
AUSTRALI,USEXRMEI,2022,1.442
AUSTRIA,GDPDEF,1974,31.096
AUSTRIA,GDPDEF,1975,33.104
AUSTRIA,GDPDEF,1976,34.966
AUSTRIA,GDPDEF,1977,36.784
AUSTRIA,GDPDEF,1978,38.989
AUSTRIA,GDPDEF,1979,40.593
AUSTRIA,GDPDEF,1980,42.858
AUSTRIA,GDPDEF,1981,45.67
AUSTRIA,GDPDEF,1982,48.105
AUSTRIA,GDPDEF,1983,49.864
AUSTRIA,GDPDEF,1984,52.175
AUSTRIA,GDPDEF,1985,53.783
AUSTRIA,GDPDEF,1986,55.238
AUSTRIA,GDPDEF,1987,56.405
AUSTRIA,GDPDEF,1988,59.82
AUSTRIA,GDPDEF,1989,61.594
AUSTRIA,GDPDEF,1990,63.441
AUSTRIA,GDPDEF,1991,65.752
AUSTRIA,GDPDEF,1992,68.039
AUSTRIA,GDPDEF,1993,69.915
AUSTRIA,GDPDEF,1994,71.68
AUSTRIA,GDPDEF,1995,72.981
AUSTRIA,GDPDEF,1996,73.678
AUSTRIA,GDPDEF,1997,74.612
AUSTRIA,GDPDEF,1998,74.941
AUSTRIA,GDPDEF,1999,75.134
AUSTRIA,GDPDEF,2000,76.158
AUSTRIA,GDPDEF,2001,77.641
AUSTRIA,GDPDEF,2002,78.531
AUSTRIA,GDPDEF,2003,79.558
AUSTRIA,GDPDEF,2004,80.942
AUSTRIA,GDPDEF,2005,82.996
AUSTRIA,GDPDEF,2006,84.566
AUSTRIA,GDPDEF,2007,86.445
AUSTRIA,GDPDEF,2008,88.136
AUSTRIA,GDPDEF,2009,89.801
AUSTRIA,GDPDEF,2010,90.585
AUSTRIA,GDPDEF,2011,92.246
AUSTRIA,GDPDEF,2012,94.141
AUSTRIA,GDPDEF,2013,95.669
